NC1	NC2	NC3	NC4	PDR1	PDR2	PDR3	PDR4
P02750	18.9888455343974	18.2922587148551	19.5003595315683	18.5163002203703	19.4724687323928	18.7435327446344	19.6468996843104	19.7396158188561
P02753	18.0439350923967	18.0952218677955	18.4379470882125	18.8950130992511	18.982230460585	18.3268068952028	18.2239262805559	19.1591864379348
P02760	17.3122980178277	16.2228892182371	17.6081248488011	18.104670411535	17.8179704401675	17.7424147077131	17.6264220246702	18.5185302214105
P02765	19.1493452345485	19.109932651171	19.3870917526712	19.5736878632995	19.9792465444687	19.9117108895097	19.4401392024305	19.6546465164443
P02766	21.5613215117813	21.6618389740995	21.6183604074522	21.5923146820762	21.2075291496022	21.0220832992124	21.5882022239126	21.8538044830506
P02768	22.86529226722	23.0996970989011	23.3497585172699	23.094084775179	22.8581183849322	23.1260339009622	22.7539112276985	23.1381961661103
P02774	21.3932542765605	21.0697932603178	21.05920184905	21.2218160169114	21.9698291444995	21.2533235304184	21.3724676284363	21.8192887856834
P02787	17.7228742222612	18.580714932549	18.4952148388082	18.0115439460448	17.7851970108687	17.6355197474601	17.9766759905918	17.5376127577124
P02790	21.2857950266741	21.2688229497899	21.3931495132868	21.1865858053239	21.7465290823399	21.4360872703877	21.0844009740136	21.7758738694881
P03952	15.0509114648754	14.1487943214243	14.3404064908533	14.5291254865759	15.4437206006566	14.647233549977	15.6588530090694	15.6835703620916
P04004	18.4475837163278	17.5801260473769	18.1672711245798	17.5739281969285	19.0583564528218	18.4126608062305	18.7890559788266	18.6202771105455
P04196	17.8083860562816	18.1735307515394	18.5792054328087	18.7072175628414	18.2017984765622	18.871983423222	18.4890717889284	18.8991503704804
P04217	20.612702948671	20.4089350493914	20.4485922413888	20.1161662534799	20.9200533097004	20.3679436515687	20.9283911437831	20.6982909285356
P04264	17.0499548762399	17.3873442295639	17.1455938750362	16.9048932977045	17.6122349911453	17.2845530273448	17.6151841855349	18.289604675243
P05067	16.8018346397202	17.401162852133	17.1339047892577	17.1383118033621	15.6567879494683	15.3040304018441	14.9542872031285	15.806549621986
P05090	16.4438500774384	15.1441802390589	15.4577014993465	16.1315555640211	15.8781946384704	15.8071033140692	15.3655706148327	16.1525027197115
P05154	17.0126900033333	15.6237957760224	16.7790524264282	16.6314044487285	17.0489976529111	16.9045405461544	17.0282082537365	16.7896609959031
P05155	20.791220133184	20.7685429634262	19.9003892417837	20.4537247812156	20.0330841848154	20.3182691716118	20.5801260473769	20.5208526759954
P05156	18.0599147669906	18.0812961818345	18.0188413017617	18.3303567169579	18.0460155566814	17.8684005819198	17.6610125761578	18.1383618057896
P05543	17.0935207282509	17.2141862908055	16.9356024706087	17.149171545911	17.9340478732039	17.2741233148015	17.1558064594647	17.9538440469152
P05546	18.0619196095716	17.3436021377457	18.2217098327252	17.48628510921	18.8639019216024	18.0646059480715	18.3954839294439	18.5656599435082
P06396	20.1422067977043	19.9261627747224	19.8924657374117	20.2563791727447	19.8092185993776	20.088224058171	19.3059014285605	19.721556502041
P06681	16.9655588459491	16.188009240605	16.6372192019111	16.3062041285893	17.2771239106173	16.7813597135247	16.9051284174966	17.1945067922824
P06727	19.528637244246	19.0208226345658	19.6662933614744	19.8436358739989	20.206337135124	20.1240152630592	20.5546862710713	20.2281140775193
P07225	16.2948002131271	15.6538806981163	15.8016073263144	15.8636055443214	15.6786001390995	15.5802291196355	15.8835979074554	15.5949368728343
P07339	19.7066949846653	20.4571363582255	19.8610414574771	20.3503522078359	19.6341197349654	19.7305895430668	19.0011057685382	19.6732296997513
P07357	15.6170369342877	15.2194710673944	16.4798434058126	15.8050888688913	16.4125036908937	16.1052333146352	16.4656461130389	16.5512876946094
P07358	15.2645525575485	14.9130763955548	15.126583490436	15.8067509891495	16.6386338863164	15.7936541075062	16.1831895098894	16.6435743858787
P07360	15.8098434764141	15.5182843214541	16.432052480696	16.7048222637795	16.6227096244563	16.4256093119391	16.8922581959182	16.6489192697882
