NC1	NC2	NC3	NC4	NC5	NC6	NC7	NC8	PDR1	PDR2	PDR3	PDR4	PDR5	PDR6	PDR7	PDR8
O95336	-1.04804186551458	-0.877056114437114	NA	-0.943042191946051	-0.986677844492266	NA	-1.05955189309281	-0.772184112339446	-1.02088020527765	-0.900435059972438	-1.0272371627522	-1.14914341229509	-1.08234910287902	-1.08215115799929	-0.892332862551614	-1.09303685448876
O95834	-1.70813764198437	-0.608571420885232	-1.23188184215593	-1.82017567271165	-0.852342404060395	NA	-0.620198789962842	-0.495340051623917	-0.846706865959709	-0.441231679577567	-0.764352450067509	-0.908519139507786	-0.715850770116937	-1.13475615728175	-0.663861637428817	-0.54575672630987
O95968	1.07214655298267	0.632775730005854	1.60982848528827	1.51256401944916	1.8524389830776	NA	0.944407004076222	NA	1.69215796348087	1.42572415649667	1.29633123750303	1.42981166481367	1.08610775968189	0.728646464907361	0.788142997859955	0.244357632222022
O95994	-0.403321747971229	-0.490675528442104	-1.3779299158269	-0.870318189843511	-1.03631267533421	-0.424344175432372	-0.862042806895271	-0.955148926200415	0.289050651907715	-0.569045553982626	-0.039781842908911	-0.354407462889697	-0.987028042555313	-0.36020893699744	-0.161510679645493	-0.691418660186739
P00325	-0.845082664726558	-1.23819650142062	-1.15096866883893	-1.07641962370766	-0.813515824878971	-1.14838565504736	-0.642240080406401	-0.299191094378664	-1.08791627802478	-0.877891580377223	-1.31161173759109	-0.783779485398926	-0.291350823450443	-1.16556324908435	-2.11697153457931	-0.814377015379147
P00338	0.476485065875056	0.539568955807679	0.136252168592089	0.247673098075157	0.284426770455259	0.144084144573362	0.405235452589299	0.485689179727771	0.311849525219495	0.568392263195394	0.299007674813375	0.53519586452326	0.497529960892042	0.446715852755577	0.425829668753026	0.526103001198379
P00352	0.90211885605131	1.45826509519339	0.913940940150207	0.903141026179806	1.11819246174402	0.73113824574858	1.2967547501747	1.66765356110622	1.20106297942941	1.38677075514651	1.1585123999907	1.3198160512385	1.37001225752967	1.12993085612826	1.18510699197958	1.30046661709314
P00390	-0.637747578376892	-0.57885958258601	-0.766474528088097	-0.735583644279249	-0.684591716654502	-0.813621913780138	-0.29636287279618	-0.279648572264753	-0.545743728521112	-0.105059625816794	-0.664422343952003	-0.413766109808609	-0.787392414714209	-0.684797037157341	-0.562607408541843	-0.150112460482725
P00441	-0.193940063365759	-0.0535654287634217	-0.894364063580617	-0.46322776473159	-0.463562729163205	-0.477379104096265	-0.209314731607338	-0.00174064700981623	-0.384100109046201	-0.404456065499778	-0.367239349234003	-0.384885972523027	-0.492571566741559	-0.25037005221023	-0.258692305392156	-0.381620473632268
P00450	0.812236089651051	0.728234699962598	1.02508196271568	1.08366453714158	0.853464818728691	0.993348781727742	0.840862449690942	0.792005838013182	0.551310937724782	0.33256230565943	0.691103438398039	0.644742800245585	0.828414171755768	0.712925440630673	0.615585658818005	0.672598760237009
P00558	0.179806372316487	0.683849132186955	0.323272938724622	0.263859416936243	0.385846079225441	0.184750291747564	0.586312897049051	0.642481660206155	0.45038748174437	0.630749323804638	0.338294352399105	0.526268936571982	0.416028147573643	0.615969563249773	0.66533925534907	0.678716206503643
P00738	0.0279841278218004	0.0351712889901952	0.461449189933228	0.924240962940984	0.95493257100742	0.705049737188523	0.913687704038049	0.991028425465784	0.128701210096762	0.772603361259112	0.962089401956026	0.692016056118242	0.855296421062613	1.20157375800047	0.490531904053942	1.30355448458353
P00751	-0.0457348309519622	-0.0540275205410285	-0.339053675133173	-0.107077429784623	-0.13780818519647	-1.61709103966943	-0.248181901932824	0.0438788106781555	-0.290627441316891	-0.397074354005644	-0.05187757090179	0.0400472942489197	0.0516487152149483	-0.288029251095159	-0.490736099501919	0.0395645474733577
P00966	-0.91640642928278	0.400055991587441	-0.48281998258318	-0.104258572947185	0.20131673464947	-0.424776785175014	0.216841249446215	0.30436134979321	0.233296541744542	0.423155606312538	0.350643088229427	0.0277775772287469	0.168805854679376	0.0617923513485499	0.288542127499875	0.177459545140196
P01008	0.0621792831060861	0.305946354358649	-0.122086868723316	0.103651612525292	0.145837986822429	-0.422617426921365	-0.00957371006279941	0.577394325077602	-0.0691549562898299	0.0610024687596677	0.0525600335953052	0.139143450466594	0.0543754135201066	0.116783238507746	0.018150999201225	0.151419625734261
P01009	1.12748610346438	1.72166794717375	1.03160021003545	1.32695270911961	1.42137893503931	0.787415995784125	1.16718487591523	1.8081784796165	0.951259616321023	1.18107748836813	1.082863774022	1.26887268664922	1.30865490508352	1.21113615086772	1.65686637294861	1.55069635337273
P01011	-0.0897775542902295	0.0936322934917317	0.0619584476573108	-0.0778326617315519	-0.0126874871719625	-0.212180402661956	-0.473508678510144	0.112608952334805	-0.264277389644316	-0.0936809586504015	-0.166287809653352	-0.54125389963283	-0.0677669458134429	0.199098561121863	-0.300099896368933	-0.302537698770072
P01023	NA	0.436050745007666	-1.75918345526489	0.200013680539504	0.346133944927809	NA	-0.140043665832176	0.428142046190918	-0.343972590272221	0.0327024862513727	-0.131269632384103	0.153265695316608	0.279945647627944	0.409765637546349	0.00852973093069492	1.10563001661511
