NC1	NC2	NC3	NC4	NC5	NC6	NC7	NC8	NC9	PDR1	PDR2	PDR3	PDR4	PDR5	PDR6	PDR7	PDR8	PDR9	PDR10
A0A087X0M8	-0.354795344675097	-0.394904453133831	-1.3298642084914	-0.446309447142039	-1.05517409060408	-1.05219330465164	-1.54504803814314	-1.37514547756868	-0.372927135092292	-0.772004897911342	-0.413614338203688	-0.584495765481278	-0.99926173405486	-1.2869702607259	-1.03390534738357	-0.939136766630925	-0.817788136155064	-0.668761901029615	-0.927702883680713
A0A087X0V3	-1.6194903819549	-1.55121254304239	0.838839289239286	-1.35951761983276	-1.29818964046517	-1.02994447965994	-0.720019348303736	-1.37084819953732	-1.38147114524504	-1.65590459055399	-0.975583040676183	-1.69551004738881	-1.4998256718758	-1.48876578106623	-1.50797902240643	-1.10145538424938	-0.854819723865714	-1.46638999074692	-1.25324773508111
A0A087X1J7	2.12809331543846	1.99180383289723	1.60953453426073	2.01751604969226	1.76601481047258	1.98418534056194	1.73509220343884	2.04532639711916	1.9509304149913	1.87804177418063	1.9706056721541	1.9503120346014	1.83190242166624	1.48939740664223	1.57563622656896	1.97524649990115	1.46990291611797	1.7038768404772	2.11687161677524
A0A087X1V9	0.0716424128751229	0.865522336811208	0.4061971581129	0.194279667142647	1.76409264025332	0.146000798288733	0.334954371437092	0.146855280155993	0.00763547358948255	0.593213513870727	0.0713257452040374	0.0385345977431499	0.253972531359939	-0.059751453390025	0.344078114635401	0.0768033457888507	0.547525578142068	0.473588887146145	0.267286224598588
A0A096LPE2	1.34035536173846	1.11167423719847	1.23922188828518	1.37105777234158	1.38938719218605	1.54590463018581	1.17852882313789	0.925796388998584	1.48652419809981	1.07056682743878	1.42860094813777	1.24472267243271	1.51980301207979	0.825677402608775	1.65495418304713	0.952698422587581	1.34994274030175	1.27128254450974	1.01692782652298
A0A0A0MT20	-1.00812687122728	-0.689632924769688	-1.16204171142202	-1.00621174410256	-1.22016133234556	-1.02220032102058	-1.49013790172699	NA	-1.01622657987545	-0.853288424294003	-0.983799742712002	-1.03888330276028	-1.18292511720287	-1.37544216105867	NA	-1.05153135499948	-2.1318560029374	-1.97673095658007	-1.18943151131251
A0A0A0MTE9	-0.147892329531878	-0.304335219908735	-0.103090024190681	-0.181424119579233	-1.62951239852552	-0.113416895802896	-0.536311909736228	-1.06456505244918	-0.215795062525467	-0.346658386238211	-0.761121054303257	0.0269036252244637	-0.141973690816709	-0.68901843694759	0.291809503341796	-0.281900161110292	-0.0392150179696532	0.0548501511292774	-0.601030348466435
A0A0C4DGH0	0.0617112503383853	-0.119154601269143	-0.37749903423713	0.216353064903921	-0.304444139778263	0.135526073016736	-0.571657745187125	-0.678187815834518	-0.155304958834254	-0.438747771524892	0.656002220499855	-0.298890851372614	-0.0119394939444874	-0.322294683962812	-0.343073839716736	-0.524948364238591	-0.183105296914106	-0.317621592226488	0.254528424850684
A0A0C4DGV7	1.89889041355038	1.56167696567602	1.56399497070987	1.66972567727015	1.91304003182804	1.87647463177328	1.62535425147386	1.34716560268116	1.61588207514963	1.88049998247366	1.85440733665755	1.97214065711355	1.78789031146378	1.76421865474261	2.06915733450056	1.73871721893897	2.32442384546245	1.81623481787528	1.85257690418769
A0A0D9SG88	-0.0761855085106494	-0.401583491803713	-1.49472824055257	-0.340712393530189	-0.827968986673917	0.282730285520136	-1.6367835034912	-1.15546434355435	-1.58198949697886	-1.82740750036585	NA	0.101294783190437	-1.48563047390832	-1.37941535972024	-1.2922772143847	-1.85633768117567	-0.449219611357478	-0.174813413200251	-1.53347512532099
A0A0G2JKW5	-1.20957031442169	-1.02364870174303	-1.06550070847404	-1.16226286733947	-1.45796792897018	-1.82659978345575	-1.00223890529064	-1.17324834272565	-0.844423859643731	-1.85931683451728	-0.42930655780174	-0.700274710733993	-1.31122281283781	-1.69759764969936	-1.06495964075245	-1.38034565579902	-1.07910590253325	-0.75791475585792	-1.91101287921702
A0A0G2JN06	-2.29435353316671	-0.760790028442053	-0.955985322807043	-1.64988088465298	-2.75852111234401	-1.44718004778077	NA	-1.03603079099231	-1.54741692296863	-1.86942518350796	-1.86530603054755	-2.05221544792524	-1.99870141378166	-1.50883145682509	-1.5225995469289	NA	-1.95709792756942	-2.97457985455389	-3.03849297151395
A0A0G2JPR0	-0.829905579787451	-0.752654661815554	-0.180214672585449	-0.806056527917712	-0.60252063526072	0.0479205682512659	-0.409002462956665	-0.693307670541032	-0.538720608892384	-0.274237903881847	-0.203350262195744	-0.964754081869393	-0.572261130380433	-0.682429877713124	-0.0580186119846612	-0.608979190861596	-0.129319617698447	1.06909924310584	-0.339273084267765
