NC1	NC2	NC3	PDR1	PDR2	PDR3	PDR4	PDR5
P24592	22.912526108822	24.6669824321163	25.4318288728042	23.0475839225941	22.1290565717302	22.3587456240063	24.1674487733735	25.5149372141677
P25311	22.8821489606324	25.3445194151301	28.3892777626818	25.5249223403045	26.6121742355268	25.9571068252328	27.6080193498096	27.3697782372875
P27169	25.8016373211066	21.1224362345531	24.5020315003502	23.0791520566267	25.8073486323927	20.2445821778658	25.3067818088806	27.1314371858486
P36955	31.1342434023221	31.4511556832161	31.3201240733067	32.0245568928486	30.8782555725527	26.4244151800663	30.4942879963735	31.9841366201283
P41222	30.20559721838	30.5325964663453	30.7923451849558	30.5239321647683	30.4052743189436	27.8582796684215	29.868338994645	30.7369093977406
P43652	26.7162034148817	25.8649759679969	27.5247729233875	23.7170144983402	27.1402418889536	22.7834075421735	27.100391090915	28.8635470366356
P61769	25.0420153382334	25.2891557611971	26.2740877589848	27.4106212406468	27.1274082695173	23.486280198334	24.980327881244	27.2859502014375
P62269	25.9170234592941	25.4024958267993	26.7444518042337	25.1268767922444	23.2444660422214	22.0038115994291	25.2155644000513	26.3029706087346
P63261	25.0874392086172	25.6987731171389	25.9370808421616	25.3456025958034	26.3155492798746	26.1852931659622	24.4406309556861	25.9501582371301
Q03591	24.6635663559679	23.3532631505045	24.4856662071595	23.3885061055627	23.7200454811761	NA	24.3676637637586	23.4630124153042
Q12805	27.1518985242037	28.6448519695549	27.2575485487186	26.1734468785754	24.9413188228548	25.3547096975182	26.9897768154277	26.3896552317669
Q14515	22.0512567438434	22.9438511782765	22.5835501760516	24.0129081967761	21.1713942842708	20.2112181478813	31.1491022390834	31.3141925958991
Q14624	25.4545345065041	21.3130734518915	27.0429129326073	25.8345586202141	27.0758189255147	NA	27.0324411217992	30.3012749587261
Q16270	21.5665799496526	24.0680881018747	22.425292749355	24.010519910719	23.8758648166284	NA	22.1177204546658	24.5282652300114
Q66K66	30.6275797759326	27.351107460838	30.0794094629965	28.9812537855624	29.2142631958229	26.1781286712212	29.0463259937015	29.8993712145206
Q6P387	25.5243245797652	24.3449595553663	23.7070405817542	23.4082094779937	NA	21.1572753791673	26.7581170566151	28.1393638327732
Q8IWB9	31.4984312797454	24.8668397172154	23.5386029152728	NA	22.0306280749396	23.862684269082	28.1659549234187	22.7520743353687
Q96PD5	26.3846416167324	23.3385133377002	25.3873889344091	23.3627903532345	25.6123992435267	21.9147354851035	26.2586630709597	27.9057536864012
Q9BSG5	23.9424379025125	25.6422097206158	24.6922153407763	24.9080696853271	23.023065311859	23.172005026402	23.2327025589464	23.4522422460564
Q9UBM4	27.5558157151604	27.8847755964222	23.8561435727169	25.1053356370609	24.3587053876397	25.2754382643688	25.1174747485702	25.3260484132536
Q9UBP4	29.349568720885	29.1172617033677	29.3073899727682	28.9672474587634	29.3784864341902	27.2975409969176	28.7079687007087	27.8662619765581
Q9Y5W5	24.9395264878839	26.3680635868671	24.9807201014995	23.4960686849787	24.1031757339097	25.1763034373994	24.0158029532144	24.6580728546695
Q9Y6R7	24.6867232125014	25.1204837461512	23.2500734188146	25.4793268445901	23.1365543676716	NA	23.7674926435785	25.1313979336471
