dataset	sample	protein	intensities	group	ocular.region	labeling	instrument
82	Data7	NC1	A0A0C4DH67	-0.347185356015942	NC	vitreous	Yes	Orbitrap Fusion
83	Data7	NC1	A0A0D9SF98	-0.271653514028183	NC	vitreous	Yes	Orbitrap Fusion
84	Data7	NC1	A0A0G2JMB2	0.414110518861199	NC	vitreous	Yes	Orbitrap Fusion
85	Data7	NC1	A0A0G2JMI3	NA	NC	vitreous	Yes	Orbitrap Fusion
86	Data7	NC1	A0A0G2JNK4	-1.03867300301886	NC	vitreous	Yes	Orbitrap Fusion
87	Data7	NC1	A0A0G2JPD4	1.35741446922293	NC	vitreous	Yes	Orbitrap Fusion
88	Data7	NC1	A0A0G2JRQ6	0.198302082263635	NC	vitreous	Yes	Orbitrap Fusion
89	Data7	NC1	A0A0G2JSC0	-0.514178396729531	NC	vitreous	Yes	Orbitrap Fusion
90	Data7	NC1	A0A0J9YX35	0.259440065946816	NC	vitreous	Yes	Orbitrap Fusion
91	Data7	NC1	A0A0J9YXX1	-0.554759144641499	NC	vitreous	Yes	Orbitrap Fusion
92	Data7	NC1	A0A0J9YXX4	-0.373194631104379	NC	vitreous	Yes	Orbitrap Fusion
93	Data7	NC1	A0A0J9YY99	0.885743300808119	NC	vitreous	Yes	Orbitrap Fusion
94	Data7	NC1	A0A0U1RRH7	-0.343359765453675	NC	vitreous	Yes	Orbitrap Fusion
95	Data7	NC1	A0A0U1RRJ0	1.37219675823516	NC	vitreous	Yes	Orbitrap Fusion
96	Data7	NC1	A0M8Q6	0.0879552230942672	NC	vitreous	Yes	Orbitrap Fusion
97	Data7	NC1	A6NLU5	-0.912631210583247	NC	vitreous	Yes	Orbitrap Fusion
98	Data7	NC1	A6PVI2	-0.674396187747581	NC	vitreous	Yes	Orbitrap Fusion
99	Data7	NC1	A8MV23-2	-0.145755966639804	NC	vitreous	Yes	Orbitrap Fusion
100	Data7	NC1	B0YIW2	0.0905302242370896	NC	vitreous	Yes	Orbitrap Fusion
101	Data7	NC1	B1B1J6	-1.043900410841	NC	vitreous	Yes	Orbitrap Fusion
102	Data7	NC1	B4DPQ0	1.49248783765898	NC	vitreous	Yes	Orbitrap Fusion
103	Data7	NC1	B4E1Z4	1.97518966521821	NC	vitreous	Yes	Orbitrap Fusion
104	Data7	NC1	B5MCX6	0.340735441842745	NC	vitreous	Yes	Orbitrap Fusion
105	Data7	NC1	C9J2H1	0.828409820285795	NC	vitreous	Yes	Orbitrap Fusion
106	Data7	NC1	C9J660	-1.37203204818139	NC	vitreous	Yes	Orbitrap Fusion
107	Data7	NC1	C9JEE0	-0.541173812094852	NC	vitreous	Yes	Orbitrap Fusion
108	Data7	NC1	C9JF17	0.860910834234417	NC	vitreous	Yes	Orbitrap Fusion
109	Data7	NC1	D3YTG3	1.22571282787191	NC	vitreous	Yes	Orbitrap Fusion
110	Data7	NC1	D6RAR4	-0.210600439211547	NC	vitreous	Yes	Orbitrap Fusion
111	Data7	NC1	D6RF35	0.583293883064356	NC	vitreous	Yes	Orbitrap Fusion
112	Data7	NC1	E7EQ64	0.28491213796903	NC	vitreous	Yes	Orbitrap Fusion
113	Data7	NC1	E7EQR8	-0.0493343567018319	NC	vitreous	Yes	Orbitrap Fusion
114	Data7	NC1	E7ETH0	1.71216528477967	NC	vitreous	Yes	Orbitrap Fusion
115	Data7	NC1	E7EUW2	NA	NC	vitreous	Yes	Orbitrap Fusion
116	Data7	NC1	E7EX29	-0.174750394801701	NC	vitreous	Yes	Orbitrap Fusion
117	Data7	NC1	E7EX88	-1.05405491085707	NC	vitreous	Yes	Orbitrap Fusion
118	Data7	NC1	E9PDN6	-0.469414025243105	NC	vitreous	Yes	Orbitrap Fusion
119	Data7	NC1	E9PEW8	-1.31749457502769	NC	vitreous	Yes	Orbitrap Fusion
120	Data7	NC1	E9PGC5	-0.547651730466592	NC	vitreous	Yes	Orbitrap Fusion
121	Data7	NC1	E9PLM6	0.284106290169986	NC	vitreous	Yes	Orbitrap Fusion
122	Data7	NC1	E9PNQ8	-1.17495855267068	NC	vitreous	Yes	Orbitrap Fusion
123	Data7	NC1	E9PR17	0.222500276785732	NC	vitreous	Yes	Orbitrap Fusion
124	Data7	NC1	F5GWQ8	0.971908843700643	NC	vitreous	Yes	Orbitrap Fusion
125	Data7	NC1	F5H2B5	-0.334887062077439	NC	vitreous	Yes	Orbitrap Fusion
126	Data7	NC1	G3V2W1	-0.511624232489302	NC	vitreous	Yes	Orbitrap Fusion
127	Data7	NC1	G3V4U0	-0.876621440026435	NC	vitreous	Yes	Orbitrap Fusion
128	Data7	NC1	G3XAK1	0.410381658881572	NC	vitreous	Yes	Orbitrap Fusion
129	Data7	NC1	H0YAC1	0.764010440313377	NC	vitreous	Yes	Orbitrap Fusion
130	Data7	NC1	H0YAH3	-0.480336344495665	NC	vitreous	Yes	Orbitrap Fusion
131	Data7	NC1	H0YC35	-0.987447740517817	NC	vitreous	Yes	Orbitrap Fusion
132	Data7	NC1	H3BLU2	0.886539504679794	NC	vitreous	Yes	Orbitrap Fusion
133	Data7	NC1	H3BP20	0.859825056572725	NC	vitreous	Yes	Orbitrap Fusion
134	Data7	NC1	H3BTH8	0.538737230177414	NC	vitreous	Yes	Orbitrap Fusion
135	Data7	NC1	H7BY64	-0.482322081269052	NC	vitreous	Yes	Orbitrap Fusion
136	Data7	NC1	H7C013	-0.602441369613314	NC	vitreous	Yes	Orbitrap Fusion
137	Data7	NC1	H7C215	-2.24480430464659	NC	vitreous	Yes	Orbitrap Fusion
138	Data7	NC1	J3KNF6	-1.42011255705111	NC	vitreous	Yes	Orbitrap Fusion
139	Data7	NC1	J3KNP4	1.03022358148913	NC	vitreous	Yes	Orbitrap Fusion
